kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.652779,-73.930493
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.63953,-74.02081
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.81825,-73.914951
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.599032,-73.975554
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.878724,-73.843759
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.825818,-73.948975
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.677605,-73.828219
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.621146,-74.011939
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.75136,-73.935439
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.698858,-73.917945
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.716775,-73.963394
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.668285,-73.987053
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.822118,-73.948085
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.759164,-73.811361
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.854811,-73.906453
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.731668,-73.989415
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.836559,-73.914274
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.757217,-73.879984
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.815126,-73.940204
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.680602,-73.997881
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.699329,-73.786487
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.658805,-73.990699
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.681913,-73.884219
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.752264,-73.991559
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.780481,-73.956852
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.595983,-73.802179
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.682617,-73.744013
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.729581,-73.799689
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.679981,-73.776234
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.858249,-73.902349
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.751667,-73.833943
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.743512,-73.994227
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.712449,-73.815342
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.726739,-73.996253
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.655784,-73.910603
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.664202,-73.877578
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.718929,-74.011347
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.58896,-73.93488
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.752549,-73.886716
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.706328,-74.012881
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.686504,-73.922067
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.822262,-73.940537
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.669643,-73.946347
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.741689,-74.002986
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.736841,-73.751971
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.844262,-73.848252
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.599863,-73.947117
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.689405,-73.981117
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.687854,-73.790007
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.715298,-74.000791
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.749685,-74.000983
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.755125,-74.002474
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.907855,-73.906577
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.742238,-73.991193
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.7341,-74.00624
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.751893,-73.969186
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.67111,-73.867031
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.75368,-73.873656
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.854931,-73.832959
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.87536,-73.87951
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.752388,-73.973275
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.673446,-73.861882
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.808778,-73.923131
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.85654,-73.853676
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.68153,-73.867804
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.688465,-73.937635
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.698858,-73.917945
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.584475,-73.969076
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.712667,-73.921892
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.749862,-73.98794
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.666334,-73.818786
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.784861,-73.973366
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.587392,-74.191044
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.891599,-73.856698
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.702975,-73.890999
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.674089,-73.871979
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.742656,-73.917382
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.756861,-73.875657
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.824495,-73.912529
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.752701,-73.932912
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.700591,-73.807743
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.650052,-73.964169
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.814014,-73.960241
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.670057,-73.921175
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.853064,-73.868945
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.731383,-74.000279
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.688135,-73.940516
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.683514,-73.975931
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.694108,-73.953259
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.747522,-73.996876
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.765447,-73.915946
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.722863,-73.974192
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.75063,-73.981927
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.712765,-73.95681
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.682227,-73.758888
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.669646,-73.826498
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.525313,-74.212482
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.88312,-73.903321
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.743551,-73.980759
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.819432,-73.845552
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.700928,-73.730974
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.585585,-73.948795
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.595897,-73.973391
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.67967,-73.936136
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.734896,-73.989959
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.662301,-73.75843
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.703006,-73.983703
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.73283,-73.981491
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.827132,-73.887149
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.72381,-73.991805
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.612864,-74.102637
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.61053,-74.09029
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.759252,-73.982758
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.689716,-73.922442
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.716735,-73.940177
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.795582,-73.932298
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.691975,-73.926385
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.887098,-73.878021
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.791797,-73.97487
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.743128,-73.875166
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.680632,-73.837286
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.72361,-73.772696
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.869296,-73.883766
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.782093,-73.782878
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.764067,-73.955058
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.672916,-73.99313
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.704103,-73.800657
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.755639,-73.966426
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.680786,-73.974475
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.804046,-73.93662
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.628861,-73.968857
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.79706,-73.960753
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.605716,-74.000088
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.733927,-73.871582
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.676153,-73.880353
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.814683,-73.916567
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.576467,-73.99665
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.735138,-73.97746
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.716196,-74.009207
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.839084,-73.863194
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.795283,-73.950396
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.765742,-73.827778
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.705531,-73.947126
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.889868,-73.852572
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.823268,-73.942925
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.840633,-73.838261
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.739971,-74.007139
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.65356,-73.728091
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.675529,-73.999198
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.800341,-73.97146
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.75992,-73.920996
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.757081,-73.854916
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.837779,-73.919451
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.786412,-73.974095
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.730198,-73.981965
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.756832,-73.974103
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.845667,-73.883807
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.855572,-73.86766
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.639996,-73.906358
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.840322,-73.865179
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.682338,-73.743153
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.674682,-73.736538
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.720664,-73.988064
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.74105,-73.996014
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.728429,-73.828965
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.592638,-73.941433
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.70585,-73.83071
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.705322,-73.913454
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.70184,-73.915226
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.744307,-73.984465
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.57738,-73.968291
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.757241,-73.989794
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.887681,-73.84705
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.594404,-73.98849
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.758232,-73.977431
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.842969,-73.901735
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.727048,-73.923701
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.742781,-73.986598
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.770777,-73.960909
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.770294,-73.804524
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.703988,-73.966117
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.741557,-73.989576
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.810579,-73.890284
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.734346,-73.981935
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.877546,-73.828075
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.653962,-73.918155
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.835733,-73.921285
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.758099,-73.828809
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.811251,-73.901561
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.749706,-73.993426
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.576671,-73.965832
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.757346,-73.980181
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.745671,-73.989622
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.600588,-73.9916
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.821004,-73.890925
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.686953,-73.818758
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.756266,-73.990501
#1a0d00,#1a0d00,#1a0d00,#1a0d00,40.750431,-73.989282
