kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#993333,#993333,#993333,#993333,40.688872,-73.944529
#993333,#993333,#993333,#993333,40.820663,-73.956385
#993333,#993333,#993333,#993333,40.648061,-73.946372
#993333,#993333,#993333,#993333,40.636561,-74.088153
#993333,#993333,#993333,#993333,40.816392,-73.895296
#993333,#993333,#993333,#993333,40.675514,-73.90116
#993333,#993333,#993333,#993333,40.71984,-73.9624
#993333,#993333,#993333,#993333,40.834826,-73.915978
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.67038,-73.79902
#993333,#993333,#993333,#993333,40.816466,-73.907807
#993333,#993333,#993333,#993333,40.826518,-73.818414
#993333,#993333,#993333,#993333,40.730261,-73.814149
#993333,#993333,#993333,#993333,40.785565,-73.946142
#993333,#993333,#993333,#993333,40.677011,-73.898652
#993333,#993333,#993333,#993333,40.753632,-73.964579
#993333,#993333,#993333,#993333,40.627427,-73.920994
#993333,#993333,#993333,#993333,40.664505,-73.811131
#993333,#993333,#993333,#993333,40.674987,-73.945849
#993333,#993333,#993333,#993333,40.609777,-73.750613
#993333,#993333,#993333,#993333,40.633217,-73.922587
#993333,#993333,#993333,#993333,40.639483,-73.945449
#993333,#993333,#993333,#993333,40.772777,-73.925508
#993333,#993333,#993333,#993333,40.815181,-73.903951
#993333,#993333,#993333,#993333,40.85559,-73.902378
#993333,#993333,#993333,#993333,40.767177,-73.963807
#993333,#993333,#993333,#993333,40.591382,-73.810006
#993333,#993333,#993333,#993333,40.588009,-73.807286
#993333,#993333,#993333,#993333,40.697014,-73.814631
#993333,#993333,#993333,#993333,40.754449,-73.988116
#993333,#993333,#993333,#993333,40.594032,-74.068984
#993333,#993333,#993333,#993333,40.757317,-73.987881
#993333,#993333,#993333,#993333,40.811053,-73.880721
#993333,#993333,#993333,#993333,40.65561,-73.750968
#993333,#993333,#993333,#993333,40.65561,-73.750968
#993333,#993333,#993333,#993333,40.65561,-73.750968
#993333,#993333,#993333,#993333,40.575872,-74.003032
#993333,#993333,#993333,#993333,40.742238,-73.991193
#993333,#993333,#993333,#993333,40.679125,-73.773915
#993333,#993333,#993333,#993333,40.679125,-73.773915
#993333,#993333,#993333,#993333,40.687025,-73.920816
#993333,#993333,#993333,#993333,40.635142,-73.947896
#993333,#993333,#993333,#993333,40.821664,-73.918856
#993333,#993333,#993333,#993333,40.778464,-73.921396
#993333,#993333,#993333,#993333,40.862687,-73.866424
#993333,#993333,#993333,#993333,40.820397,-73.954724
#993333,#993333,#993333,#993333,40.687876,-73.853606
#993333,#993333,#993333,#993333,40.729939,-73.810433
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.636819,-74.118653
#993333,#993333,#993333,#993333,40.669165,-73.891285
#993333,#993333,#993333,#993333,40.690081,-73.96056
#993333,#993333,#993333,#993333,40.879168,-73.85414
#993333,#993333,#993333,#993333,40.863993,-73.900731
#993333,#993333,#993333,#993333,40.742394,-73.954232
#993333,#993333,#993333,#993333,40.643126,-73.908094
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.720813,-73.978136
#993333,#993333,#993333,#993333,40.660083,-73.918962
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.861895,-73.857662
#993333,#993333,#993333,#993333,40.85029,-73.899418
#993333,#993333,#993333,#993333,40.592479,-73.799697
#993333,#993333,#993333,#993333,40.758452,-73.815431
#993333,#993333,#993333,#993333,40.831241,-73.919173
#993333,#993333,#993333,#993333,40.662614,-73.946764
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.865383,-73.893202
#993333,#993333,#993333,#993333,40.683549,-73.988492
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.83089,-73.827285
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.706492,-73.8786
#993333,#993333,#993333,#993333,40.829988,-73.900085
#993333,#993333,#993333,#993333,40.594145,-73.960415
#993333,#993333,#993333,#993333,40.704267,-73.893554
#993333,#993333,#993333,#993333,40.675399,-73.881119
#993333,#993333,#993333,#993333,40.701001,-73.770822
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.750774,-73.987073
#993333,#993333,#993333,#993333,40.6797,-73.776047
#993333,#993333,#993333,#993333,40.830641,-73.874876
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.597159,-74.085105
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.769306,-73.915508
#993333,#993333,#993333,#993333,40.856263,-73.906877
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.857423,-73.902346
#993333,#993333,#993333,#993333,40.656167,-73.927927
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.854753,-73.893562
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.626192,-73.994147
#993333,#993333,#993333,#993333,40.626192,-73.994147
#993333,#993333,#993333,#993333,40.664947,-73.878131
#993333,#993333,#993333,#993333,40.6974,-73.951302
#993333,#993333,#993333,#993333,40.709296,-73.775483
#993333,#993333,#993333,#993333,40.698737,-73.831569
#993333,#993333,#993333,#993333,40.680373,-73.892759
#993333,#993333,#993333,#993333,40.680378,-73.867986
#993333,#993333,#993333,#993333,40.708727,-73.964185
#993333,#993333,#993333,#993333,40.899518,-73.859054
#993333,#993333,#993333,#993333,40.637285,-73.952383
#993333,#993333,#993333,#993333,40.637285,-73.952383
#993333,#993333,#993333,#993333,40.68953,-73.781957
#993333,#993333,#993333,#993333,40.711038,-73.745812
#993333,#993333,#993333,#993333,40.748794,-73.873041
#993333,#993333,#993333,#993333,40.799009,-73.952409
#993333,#993333,#993333,#993333,40.689573,-73.796377
#993333,#993333,#993333,#993333,40.644726,-74.077483
#993333,#993333,#993333,#993333,40.86536,-73.918278
#993333,#993333,#993333,#993333,40.644914,-73.937384
#993333,#993333,#993333,#993333,40.866012,-73.867339
#993333,#993333,#993333,#993333,40.649272,-73.928165
#993333,#993333,#993333,#993333,40.639441,-74.117696
#993333,#993333,#993333,#993333,40.786501,-73.945466
#993333,#993333,#993333,#993333,40.675146,-73.918003
#993333,#993333,#993333,#993333,40.709186,-73.819156
#993333,#993333,#993333,#993333,40.749755,-73.985615
#993333,#993333,#993333,#993333,40.69965,-73.938317
#993333,#993333,#993333,#993333,40.70887,-73.942601
#993333,#993333,#993333,#993333,40.865841,-73.895999
#993333,#993333,#993333,#993333,40.689453,-73.955123
#993333,#993333,#993333,#993333,40.833336,-73.917161
#993333,#993333,#993333,#993333,40.836266,-73.911329
#993333,#993333,#993333,#993333,40.685785,-73.867795
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.677605,-73.828219
