kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#ffffff,#ffffff,#ffffff,#ffffff,40.612914,-74.062617
#ffffff,#ffffff,#ffffff,#ffffff,40.594923,-74.077637
#ffffff,#ffffff,#ffffff,#ffffff,40.595613,-74.078075
#ffffff,#ffffff,#ffffff,#ffffff,40.596119,-74.078396
#ffffff,#ffffff,#ffffff,#ffffff,40.596619,-74.079132
#ffffff,#ffffff,#ffffff,#ffffff,40.596462,-74.079567
#ffffff,#ffffff,#ffffff,#ffffff,40.596053,-74.079935
#ffffff,#ffffff,#ffffff,#ffffff,40.595311,-74.079593
#ffffff,#ffffff,#ffffff,#ffffff,40.594358,-74.078278
#ffffff,#ffffff,#ffffff,#ffffff,40.587356,-74.103349
#ffffff,#ffffff,#ffffff,#ffffff,40.587831,-74.102832
#ffffff,#ffffff,#ffffff,#ffffff,40.588091,-74.101174
#ffffff,#ffffff,#ffffff,#ffffff,40.58791,-74.100814
#ffffff,#ffffff,#ffffff,#ffffff,40.586396,-74.10081
#ffffff,#ffffff,#ffffff,#ffffff,40.587062,-74.10086
#ffffff,#ffffff,#ffffff,#ffffff,40.586374,-74.102586
#ffffff,#ffffff,#ffffff,#ffffff,40.586726,-74.103104
#ffffff,#ffffff,#ffffff,#ffffff,40.63652,-74.119539
#ffffff,#ffffff,#ffffff,#ffffff,40.636634,-74.118564
#ffffff,#ffffff,#ffffff,#ffffff,40.636614,-74.118755
#ffffff,#ffffff,#ffffff,#ffffff,40.636602,-74.118842
#ffffff,#ffffff,#ffffff,#ffffff,40.635965,-74.117698
#ffffff,#ffffff,#ffffff,#ffffff,40.634611,-74.118484
#ffffff,#ffffff,#ffffff,#ffffff,40.634622,-74.118396
#ffffff,#ffffff,#ffffff,#ffffff,40.634496,-74.120061
#ffffff,#ffffff,#ffffff,#ffffff,40.63449,-74.119873
#ffffff,#ffffff,#ffffff,#ffffff,40.634591,-74.118718
#ffffff,#ffffff,#ffffff,#ffffff,40.63466,-74.118011
#ffffff,#ffffff,#ffffff,#ffffff,40.6355,-74.117618
#ffffff,#ffffff,#ffffff,#ffffff,40.635848,-74.117682
#ffffff,#ffffff,#ffffff,#ffffff,40.636922,-74.118905
#ffffff,#ffffff,#ffffff,#ffffff,40.634478,-74.120477
#ffffff,#ffffff,#ffffff,#ffffff,40.634443,-74.120471
#ffffff,#ffffff,#ffffff,#ffffff,40.607444,-74.120801
#ffffff,#ffffff,#ffffff,#ffffff,40.60659,-74.120134
#ffffff,#ffffff,#ffffff,#ffffff,40.606728,-74.118664
#ffffff,#ffffff,#ffffff,#ffffff,40.606779,-74.118179
#ffffff,#ffffff,#ffffff,#ffffff,40.608448,-74.118498
#ffffff,#ffffff,#ffffff,#ffffff,40.608742,-74.118519
#ffffff,#ffffff,#ffffff,#ffffff,40.606834,-74.121161
#ffffff,#ffffff,#ffffff,#ffffff,40.633254,-74.16497
#ffffff,#ffffff,#ffffff,#ffffff,40.633289,-74.163685
#ffffff,#ffffff,#ffffff,#ffffff,40.633694,-74.161964
#ffffff,#ffffff,#ffffff,#ffffff,40.63366,-74.163162
#ffffff,#ffffff,#ffffff,#ffffff,40.633297,-74.163855
#ffffff,#ffffff,#ffffff,#ffffff,40.633314,-74.163136
#ffffff,#ffffff,#ffffff,#ffffff,40.632818,-74.1619
#ffffff,#ffffff,#ffffff,#ffffff,40.632048,-74.16192
#ffffff,#ffffff,#ffffff,#ffffff,40.631929,-74.164406
#ffffff,#ffffff,#ffffff,#ffffff,40.631682,-74.163169
#ffffff,#ffffff,#ffffff,#ffffff,40.63198,-74.163039
#ffffff,#ffffff,#ffffff,#ffffff,40.632999,-74.164982
#ffffff,#ffffff,#ffffff,#ffffff,40.631859,-74.165033
#ffffff,#ffffff,#ffffff,#ffffff,40.631624,-74.1629
#ffffff,#ffffff,#ffffff,#ffffff,40.632016,-74.163138
#ffffff,#ffffff,#ffffff,#ffffff,40.632162,-74.163855
#ffffff,#ffffff,#ffffff,#ffffff,40.631841,-74.163971
#ffffff,#ffffff,#ffffff,#ffffff,40.631639,-74.162705
#ffffff,#ffffff,#ffffff,#ffffff,40.630378,-74.162423
#ffffff,#ffffff,#ffffff,#ffffff,40.630381,-74.162597
#ffffff,#ffffff,#ffffff,#ffffff,40.630398,-74.163031
#ffffff,#ffffff,#ffffff,#ffffff,40.630413,-74.163576
#ffffff,#ffffff,#ffffff,#ffffff,40.647202,-74.087698
#ffffff,#ffffff,#ffffff,#ffffff,40.646899,-74.088191
#ffffff,#ffffff,#ffffff,#ffffff,40.645713,-74.087906
#ffffff,#ffffff,#ffffff,#ffffff,40.644725,-74.087078
#ffffff,#ffffff,#ffffff,#ffffff,40.644825,-74.087238
#ffffff,#ffffff,#ffffff,#ffffff,40.623509,-74.082568
#ffffff,#ffffff,#ffffff,#ffffff,40.623748,-74.081547
#ffffff,#ffffff,#ffffff,#ffffff,40.622287,-74.082464
#ffffff,#ffffff,#ffffff,#ffffff,40.621933,-74.082264
#ffffff,#ffffff,#ffffff,#ffffff,40.621265,-74.081102
#ffffff,#ffffff,#ffffff,#ffffff,40.62138,-74.080744
#ffffff,#ffffff,#ffffff,#ffffff,40.643656,-74.086695
#ffffff,#ffffff,#ffffff,#ffffff,40.642013,-74.096823
#ffffff,#ffffff,#ffffff,#ffffff,40.642045,-74.096432
#ffffff,#ffffff,#ffffff,#ffffff,40.642118,-74.095771
#ffffff,#ffffff,#ffffff,#ffffff,40.642166,-74.095359
#ffffff,#ffffff,#ffffff,#ffffff,40.749502,-74.003017
#ffffff,#ffffff,#ffffff,#ffffff,40.74914,-74.003162
#ffffff,#ffffff,#ffffff,#ffffff,40.781322,-73.945628
#ffffff,#ffffff,#ffffff,#ffffff,40.782258,-73.945209
#ffffff,#ffffff,#ffffff,#ffffff,40.781496,-73.945752
#ffffff,#ffffff,#ffffff,#ffffff,40.780615,-73.946385
#ffffff,#ffffff,#ffffff,#ffffff,40.780789,-73.946375
#ffffff,#ffffff,#ffffff,#ffffff,40.838535,-73.943953
#ffffff,#ffffff,#ffffff,#ffffff,40.796065,-73.938128
#ffffff,#ffffff,#ffffff,#ffffff,40.795969,-73.937899
#ffffff,#ffffff,#ffffff,#ffffff,40.795873,-73.93767
#ffffff,#ffffff,#ffffff,#ffffff,40.795283,-73.936201
#ffffff,#ffffff,#ffffff,#ffffff,40.794712,-73.936603
