dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
22.72727,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
27.86885,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.57142,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
22.72727,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
27.86885,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.57142,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
20.58823,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
32.72727,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.29268,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
17.64705,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
20.77922,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
26.76056,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
20.58823,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
32.72727,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.29268,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
17.64705,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
20.77922,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
26.76056,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
22.41379,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
38.88888,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.29268,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
26.47058,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
18.18181,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
28.76712,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
16.92307,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
21.42857,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714264,-73.980923
21.21212,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.49295,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
16.12903,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
21.21212,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.49295,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
16.12903,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
18.30985,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.64625,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
21.55172,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
18.30985,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.64625,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
21.55172,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
18.10344,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
18.30985,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.90909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.17241,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
27.35042,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
20.53571,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
17.43119,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
15.73033,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.712254,-73.983975
19.67213,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
16.85393,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
16.85393,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
21.51898,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
15.27777,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
22.95081,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
16.85393,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
15.11627,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
21.79487,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
19.44444,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
22.95081,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.729088,-73.982516
25.26315,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
34.7826,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
45.09803,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
33.96226,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
25.26315,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
34.7826,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
46.07843,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
34.90566,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.41747,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
42.30769,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
41.32231,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
56.88073,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
58.47457,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
52.38095,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.41747,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
42.30769,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
41.32231,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
56.88073,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
58.47457,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
54.7619,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
51.40186,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
50.84745,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
59.0909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
60.83333,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
59.5238,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.64705,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.07317,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.78947,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.90909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.64705,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.07317,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.78947,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
15.90909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.71428,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
35.55555,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.86206,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.86567,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.4186,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.44186,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
35.55555,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.86206,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.86567,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.4186,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.44186,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
23.4375,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
28.57142,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.45454,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
18.84057,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
29.0909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
28.57142,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.74418,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
23.25581,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
17.77777,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.15384,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.35294,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
27.27272,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
21.73913,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
31.04838,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
28.40909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
37.20136,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.49775,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
27.3224,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.58139,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
18.13471,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
31.04838,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
28.40909,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
37.20136,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.49775,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
27.3224,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.58139,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
18.13471,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
19.02439,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.27906,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
18.07228,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.60073,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
38.17034,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.93305,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
30.92783,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.39436,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.40191,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.60073,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
38.17034,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.93305,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
30.92783,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.39436,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.40191,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.75449,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
23.41463,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.67441,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.69879,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
38.69969,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.90243,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
31.52709,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
35.61643,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
27.48815,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.4852,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
19.23076,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.08695,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.16279,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.90361,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.96428,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
16.96428,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.64788,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.02631,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.07894,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.52941,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.85294,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.3913,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.64788,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.02631,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.07894,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.52941,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
20.58823,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.3913,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
16.52173,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
18.47826,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
30.23255,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.67532,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
20.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
