dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
0.3007518,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
3.061224,#00111a,#00111a,#00111a,#00111a,40.711894,-73.939176
12.5,#00111a,#00111a,#00111a,#00111a,40.601385,-73.763754
10.09174,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
5.76923,#00111a,#00111a,#00111a,#00111a,40.712254,-73.983975
13.28125,#00111a,#00111a,#00111a,#00111a,40.828098,-73.917654
0.0,#00111a,#00111a,#00111a,#00111a,40.765148,-73.826567
6.204379,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
1.941747,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
10.44776,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
1.923076,#00111a,#00111a,#00111a,#00111a,40.768026,-73.989122
4.705882,#00111a,#00111a,#00111a,#00111a,40.735539,-73.98745
11.8729,#00111a,#00111a,#00111a,#00111a,40.8452,-73.897334
9.523809,#00111a,#00111a,#00111a,#00111a,40.680315,-73.84202
4.225352,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
14.70588,#00111a,#00111a,#00111a,#00111a,40.875549,-73.861423
10.0,#00111a,#00111a,#00111a,#00111a,40.593438,-73.98625
0.0,#00111a,#00111a,#00111a,#00111a,40.601385,-73.763754
4.854368,#00111a,#00111a,#00111a,#00111a,40.695447,-73.985602
10.20408,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
12.2807,#00111a,#00111a,#00111a,#00111a,40.815976,-73.955665
7.476635,#00111a,#00111a,#00111a,#00111a,40.836331,-73.890325
0.0,#00111a,#00111a,#00111a,#00111a,40.582368,-73.968339
2.941176,#00111a,#00111a,#00111a,#00111a,40.751245,-73.93747
11.42857,#00111a,#00111a,#00111a,#00111a,40.8599,-73.860322
6.862745,#00111a,#00111a,#00111a,#00111a,40.678899,-73.931664
4.040404,#00111a,#00111a,#00111a,#00111a,40.827486,-73.919027
4.564755,#00111a,#00111a,#00111a,#00111a,40.742643,-73.936414
8.108108,#00111a,#00111a,#00111a,#00111a,40.641102,-73.898146
9.589041,#00111a,#00111a,#00111a,#00111a,40.666194,-73.923975
0.9708737,#00111a,#00111a,#00111a,#00111a,40.828098,-73.917654
7.070707,#00111a,#00111a,#00111a,#00111a,40.745836,-73.940381
12.34567,#00111a,#00111a,#00111a,#00111a,40.642828,-73.992558
14.49275,#00111a,#00111a,#00111a,#00111a,40.817323,-73.947082
1.030927,#00111a,#00111a,#00111a,#00111a,40.760319,-73.818037
2.752293,#00111a,#00111a,#00111a,#00111a,40.771283,-73.781082
3.846153,#00111a,#00111a,#00111a,#00111a,40.841511,-73.874929
1.282051,#00111a,#00111a,#00111a,#00111a,40.828098,-73.917654
0.0,#00111a,#00111a,#00111a,#00111a,40.582368,-73.968339
3.061224,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
11.16883,#00111a,#00111a,#00111a,#00111a,40.855509,-73.926263
7.843137,#00111a,#00111a,#00111a,#00111a,40.695453,-73.968767
13.97058,#00111a,#00111a,#00111a,#00111a,40.723986,-73.990987
3.703703,#00111a,#00111a,#00111a,#00111a,40.655455,-74.004564
1.190476,#00111a,#00111a,#00111a,#00111a,40.732708,-73.982641
4.176904,#00111a,#00111a,#00111a,#00111a,40.729973,-73.992705
0.5555555,#00111a,#00111a,#00111a,#00111a,40.771367,-73.924307
0.0,#00111a,#00111a,#00111a,#00111a,40.768026,-73.989122
0.0,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
10.84337,#00111a,#00111a,#00111a,#00111a,40.875549,-73.861423
7.763975,#00111a,#00111a,#00111a,#00111a,40.658815,-73.942977
4.825462,#00111a,#00111a,#00111a,#00111a,40.593438,-73.98625
8.661417,#00111a,#00111a,#00111a,#00111a,40.815976,-73.955665
8.333333,#00111a,#00111a,#00111a,#00111a,40.708519,-73.855803
1.851851,#00111a,#00111a,#00111a,#00111a,40.722246,-73.9534
1.010101,#00111a,#00111a,#00111a,#00111a,40.732708,-73.982641
7.5,#00111a,#00111a,#00111a,#00111a,40.709228,-74.012182
9.523809,#00111a,#00111a,#00111a,#00111a,40.66905,-73.961729
10.44776,#00111a,#00111a,#00111a,#00111a,40.675934,-73.939306
1.449275,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
1.834862,#00111a,#00111a,#00111a,#00111a,40.732708,-73.982641
3.482587,#00111a,#00111a,#00111a,#00111a,40.669946,-73.96034
6.25,#00111a,#00111a,#00111a,#00111a,40.820915,-73.855857
14.28571,#00111a,#00111a,#00111a,#00111a,40.833651,-73.904055
9.302325,#00111a,#00111a,#00111a,#00111a,40.678231,-73.915835
10.22727,#00111a,#00111a,#00111a,#00111a,40.818847,-73.905063
0.9793253,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
8.421052,#00111a,#00111a,#00111a,#00111a,40.641102,-73.898146
12.04819,#00111a,#00111a,#00111a,#00111a,40.794822,-73.933201
7.042253,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
8.783783,#00111a,#00111a,#00111a,#00111a,40.865616,-73.924801
0.0,#00111a,#00111a,#00111a,#00111a,40.700606,-73.794181
6.060606,#00111a,#00111a,#00111a,#00111a,40.765409,-73.959814
8.510638,#00111a,#00111a,#00111a,#00111a,40.831201,-73.887229
0.0,#00111a,#00111a,#00111a,#00111a,40.705714,-73.752764
0.0,#00111a,#00111a,#00111a,#00111a,40.760868,-73.982397
1.980198,#00111a,#00111a,#00111a,#00111a,40.732708,-73.982641
14.42307,#00111a,#00111a,#00111a,#00111a,40.81366,-73.920294
13.51351,#00111a,#00111a,#00111a,#00111a,40.675934,-73.939306
10.5973,#00111a,#00111a,#00111a,#00111a,40.8452,-73.897334
4.854368,#00111a,#00111a,#00111a,#00111a,40.709935,-73.944766
12.42236,#00111a,#00111a,#00111a,#00111a,40.865616,-73.924801
10.84337,#00111a,#00111a,#00111a,#00111a,40.831814,-73.878702
