kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#004d00,#004d00,#004d00,#004d00,40.721766,-74.011918
#004d00,#004d00,#004d00,#004d00,40.72154,-74.010176
#004d00,#004d00,#004d00,#004d00,40.721153,-73.994811
#004d00,#004d00,#004d00,#004d00,40.724217,-73.996138
#004d00,#004d00,#004d00,#004d00,40.721114,-74.005104
#004d00,#004d00,#004d00,#004d00,40.725558,-74.010621
#004d00,#004d00,#004d00,#004d00,40.726109,-73.998274
#004d00,#004d00,#004d00,#004d00,40.714701,-74.013206
#004d00,#004d00,#004d00,#004d00,40.725103,-74.003559
#004d00,#004d00,#004d00,#004d00,40.725178,-74.005709
#004d00,#004d00,#004d00,#004d00,40.7235,-74.00449
#004d00,#004d00,#004d00,#004d00,40.723942,-74.004784
#004d00,#004d00,#004d00,#004d00,40.725818,-74.002963
#004d00,#004d00,#004d00,#004d00,40.717819,-74.012706
#004d00,#004d00,#004d00,#004d00,40.725091,-74.009695
#004d00,#004d00,#004d00,#004d00,40.723765,-74.005467
#004d00,#004d00,#004d00,#004d00,40.726208,-74.001447
#004d00,#004d00,#004d00,#004d00,40.721417,-74.00542
#004d00,#004d00,#004d00,#004d00,40.717935,-74.010657
#004d00,#004d00,#004d00,#004d00,40.725801,-74.007884
#004d00,#004d00,#004d00,#004d00,40.728341,-74.003395
#004d00,#004d00,#004d00,#004d00,40.725109,-74.00572
#004d00,#004d00,#004d00,#004d00,40.67151,-73.840884
#004d00,#004d00,#004d00,#004d00,40.677389,-73.843599
#004d00,#004d00,#004d00,#004d00,40.677611,-73.852094
#004d00,#004d00,#004d00,#004d00,40.673915,-73.850215
#004d00,#004d00,#004d00,#004d00,40.675081,-73.838473
#004d00,#004d00,#004d00,#004d00,40.67988,-73.844507
#004d00,#004d00,#004d00,#004d00,40.678183,-73.846986
#004d00,#004d00,#004d00,#004d00,40.675012,-73.850522
#004d00,#004d00,#004d00,#004d00,40.6779,-73.858277
#004d00,#004d00,#004d00,#004d00,40.673699,-73.837255
#004d00,#004d00,#004d00,#004d00,40.673749,-73.85227
#004d00,#004d00,#004d00,#004d00,40.676895,-73.852395
#004d00,#004d00,#004d00,#004d00,40.67977,-73.842804
#004d00,#004d00,#004d00,#004d00,40.676925,-73.858863
#004d00,#004d00,#004d00,#004d00,40.674277,-73.849338
#004d00,#004d00,#004d00,#004d00,40.670743,-73.84726
#004d00,#004d00,#004d00,#004d00,40.677396,-73.841518
#004d00,#004d00,#004d00,#004d00,40.678191,-73.839937
#004d00,#004d00,#004d00,#004d00,40.67483,-73.839428
#004d00,#004d00,#004d00,#004d00,40.672064,-73.847845
#004d00,#004d00,#004d00,#004d00,40.677854,-73.847671
#004d00,#004d00,#004d00,#004d00,40.669729,-73.839157
#004d00,#004d00,#004d00,#004d00,40.674162,-73.845885
#004d00,#004d00,#004d00,#004d00,40.678712,-73.846102
#004d00,#004d00,#004d00,#004d00,40.676226,-73.848414
#004d00,#004d00,#004d00,#004d00,40.67381,-73.83894
#004d00,#004d00,#004d00,#004d00,40.675033,-73.853428
#004d00,#004d00,#004d00,#004d00,40.670786,-73.841968
#004d00,#004d00,#004d00,#004d00,40.671579,-73.840902
#004d00,#004d00,#004d00,#004d00,40.672596,-73.850706
#004d00,#004d00,#004d00,#004d00,40.67786,-73.850399
#004d00,#004d00,#004d00,#004d00,40.675042,-73.85744
#004d00,#004d00,#004d00,#004d00,40.726928,-73.949466
#004d00,#004d00,#004d00,#004d00,40.732588,-73.952247
#004d00,#004d00,#004d00,#004d00,40.727814,-73.957037
#004d00,#004d00,#004d00,#004d00,40.71924,-73.948156
#004d00,#004d00,#004d00,#004d00,40.73194,-73.959096
