,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
19157,Monday,Apr,27,2015,2000,FELONY ASSAULT,,40.791151867,-73.884371919
17114,Tuesday,Mar,17,2015,1900,FELONY ASSAULT,,40.791151867,-73.884371919
25749,Thursday,Aug,13,2015,1900,FELONY ASSAULT,,40.791151867,-73.884371919
13952,Monday,Jan,5,2015,2000,FELONY ASSAULT,,40.791151867,-73.884371919
19701,Wednesday,May,6,2015,1000,FELONY ASSAULT,,40.791151867,-73.884371919
13617,Friday,Jul,4,2014,1200,FELONY ASSAULT,,40.791151867,-73.884371919
19503,Sunday,May,3,2015,800,FELONY ASSAULT,,40.791151867,-73.884371919
26541,Tuesday,Aug,25,2015,1000,FELONY ASSAULT,,40.791151867,-73.884371919
16513,Friday,Mar,6,2015,1000,FELONY ASSAULT,,40.791151867,-73.884371919
24353,Thursday,Jul,23,2015,1400,FELONY ASSAULT,,40.791151867,-73.884371919
25339,Friday,Aug,7,2015,700,FELONY ASSAULT,,40.791151867,-73.884371919
22420,Monday,Jun,22,2015,2100,FELONY ASSAULT,,40.791151867,-73.884371919
21165,Sunday,May,31,2015,900,FELONY ASSAULT,,40.791151867,-73.884371919
16090,Wednesday,Feb,25,2015,1400,FELONY ASSAULT,,40.791151867,-73.884371919
20158,Thursday,May,14,2015,900,FELONY ASSAULT,,40.791151867,-73.884371919
23656,Sunday,Jul,12,2015,800,FELONY ASSAULT,,40.791151867,-73.884371919
27076,Wednesday,Sep,2,2015,1200,FELONY ASSAULT,,40.791151867,-73.884371919
26198,Thursday,Aug,20,2015,2000,FELONY ASSAULT,,40.791151867,-73.884371919
14618,Thursday,Jan,22,2015,500,FELONY ASSAULT,,40.791151867,-73.884371919
14040,Thursday,Jan,8,2015,1000,FELONY ASSAULT,,40.791151867,-73.884371919
19443,Saturday,May,2,2015,1900,FELONY ASSAULT,,40.791151867,-73.884371919
19203,Tuesday,Apr,28,2015,1700,FELONY ASSAULT,,40.791151867,-73.884371919
18285,Saturday,Apr,11,2015,2100,FELONY ASSAULT,,40.791151867,-73.884371919
