,index,schoolName,Category,Cohort,year,nrStudents,dropoutperc,lon,lat,district
0,0,ORCHARD COLLEGIATE ACADEMY,All Students,4 year August,2012,44,22.72727,-73.9809229,40.7142645,New York
1,8,ORCHARD COLLEGIATE ACADEMY,All Students,4 year June,2012,44,22.72727,-73.9809229,40.7142645,New York
2,41,UNIVERSITY NEIGHBORHOOD HS,All Students,4 year August,2012,66,21.21212,-73.9839750348,40.71225365,New York
3,49,UNIVERSITY NEIGHBORHOOD HS,All Students,4 year June,2012,66,21.21212,-73.9839750348,40.71225365,New York
4,88,EAST SIDE COMMUNITY SCHOOL,All Students,4 year August,2012,90,4.444444,-73.9825163484,40.7290878,New York
5,96,EAST SIDE COMMUNITY SCHOOL,All Students,4 year June,2012,90,4.444444,-73.9825163484,40.7290878,New York
6,135,FORSYTH SATELLITE ACADEMY,All Students,4 year August,2012,82,10.9756,-73.9906001,40.7224227,New York
7,141,FORSYTH SATELLITE ACADEMY,All Students,4 year June,2012,82,10.9756,-73.9906001,40.7224227,New York
8,165,MARTA VALLE HS,All Students,4 year August,2012,74,10.81081,-73.9861014321,40.7201826,New York
9,173,MARTA VALLE HS,All Students,4 year June,2012,74,10.81081,-73.9861014321,40.7201826,New York
10,212,LOWER EAST SIDE PREPARATORY HS,All Students,4 year August,2012,248,31.04838,-73.9861014321,40.7201826,New York
11,220,LOWER EAST SIDE PREPARATORY HS,All Students,4 year June,2012,248,31.04838,-73.9861014321,40.7201826,New York
12,259,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,All Students,4 year August,2012,186,0.0,-73.979781,40.719387,New York
13,267,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,All Students,4 year June,2012,186,0.0,-73.979781,40.719387,New York
14,306,CASCADES HS,All Students,4 year August,2012,112,16.96428,-73.9906001,40.7224227,New York
15,314,CASCADES HS,All Students,4 year June,2012,112,16.96428,-73.9906001,40.7224227,New York
16,353,BARD HS EARLY COLLEGE,All Students,4 year August,2012,131,0.0,-73.976128,40.718092,New York
17,361,BARD HS EARLY COLLEGE,All Students,4 year June,2012,131,0.0,-73.976128,40.718092,New York
18,400,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,All Students,4 year August,2012,58,1.724137,-73.9887873,40.7412181,New York
19,408,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,All Students,4 year June,2012,58,1.724137,-73.9887873,40.7412181,New York
20,449,FOOD AND FINANCE HS,All Students,4 year August,2012,94,3.191489,-73.9903460996,40.76367915,New York
21,457,FOOD AND FINANCE HS,All Students,4 year June,2012,94,3.191489,-73.9903460996,40.76367915,New York
22,496,ESSEX STREET ACADEMY,All Students,4 year August,2012,88,4.545454,-73.9935842,40.7655507,New York
23,504,ESSEX STREET ACADEMY,All Students,4 year June,2012,88,4.545454,-73.9935842,40.7655507,New York
24,540,HS OF HOSPITALITY MANAGEMENT,All Students,4 year August,2012,104,7.692307,-73.9825283,40.7147219,New York
25,548,HS OF HOSPITALITY MANAGEMENT,All Students,4 year June,2012,104,7.692307,-73.9825283,40.7147219,New York
26,581,PACE HS,All Students,4 year August,2012,109,0.9174311,-73.9935842,40.7655507,New York
27,589,PACE HS,All Students,4 year June,2012,109,0.9174311,-73.9935842,40.7655507,New York
28,625,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,All Students,4 year August,2012,81,4.938271,-73.9935207256,40.716184,New York
29,633,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,All Students,4 year June,2012,81,4.938271,-73.9935207256,40.716184,New York
30,669,FACING HISTORY SCHOOL,All Students,4 year August,2012,90,21.11111,-73.9935842,40.7655507,New York
31,677,FACING HISTORY SCHOOL,All Students,4 year June,2012,90,21.11111,-73.9935842,40.7655507,New York
32,707,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,All Students,4 year August,2012,71,7.042253,-73.9935842,40.7655507,New York
33,715,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,All Students,4 year June,2012,71,7.042253,-73.9935842,40.7655507,New York
34,745,LOWER MANHATTAN ARTS ACADEMY,All Students,4 year August,2012,78,5.128205,-73.9825283,40.7147219,New York
35,753,LOWER MANHATTAN ARTS ACADEMY,All Students,4 year June,2012,78,5.128205,-73.9825283,40.7147219,New York
36,783,JAMES BALDWIN SCHOOL,All Students,4 year August,2012,101,8.910891,-73.9825283,40.7147219,New York
37,791,JAMES BALDWIN SCHOOL,All Students,4 year June,2012,101,8.910891,-73.9825283,40.7147219,New York
38,827,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,All Students,4 year August,2012,90,8.888888,-74.0027635653,40.74336655,New York
39,835,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,All Students,4 year June,2012,90,8.888888,-74.0027635653,40.74336655,New York
40,868,GRAMERCY ARTS HS,All Students,4 year August,2012,105,5.714285,-74.0129106229,40.7053128,New York
41,876,GRAMERCY ARTS HS,All Students,4 year June,2012,105,5.714285,-74.0129106229,40.7053128,New York
42,905,NYC ISCHOOL,All Students,4 year August,2012,107,0.9345794,-73.9874497,40.7355392,New York
43,910,NYC ISCHOOL,All Students,4 year June,2012,107,0.9345794,-73.9874497,40.7355392,New York
44,927,MANHATTAN BUSINESS ACADEMY,All Students,4 year August,2012,96,2.083333,-74.004844,40.723767,New York
45,932,MANHATTAN BUSINESS ACADEMY,All Students,4 year June,2012,96,2.083333,-74.004844,40.723767,New York
46,948,BUSINESS OF SPORTS SCHOOL,All Students,4 year August,2012,85,7.058823,-74.0027635653,40.74336655,New York
47,952,BUSINESS OF SPORTS SCHOOL,All Students,4 year June,2012,85,7.058823,-74.0027635653,40.74336655,New York
48,967,EMMA LAZARUS HS,All Students,4 year August,2012,59,10.16949,-73.9903460996,40.76367915,New York
49,974,EMMA LAZARUS HS,All Students,4 year June,2012,59,10.16949,-73.9903460996,40.76367915,New York
50,1000,HS FOR LANGUAGE AND DIPLOMACY,All Students,4 year August,2012,96,3.125,-73.9935207256,40.716184,New York
51,1005,HS FOR LANGUAGE AND DIPLOMACY,All Students,4 year June,2012,96,3.125,-73.9935207256,40.716184,New York
52,1021,HS FOR ENVIRONMENTAL STUDIES,All Students,4 year August,2012,309,5.177993,-73.9874497,40.7355392,New York
53,1029,HS FOR ENVIRONMENTAL STUDIES,All Students,4 year June,2012,309,5.177993,-73.9874497,40.7355392,New York
54,1068,INSTITUTE FOR COLLABORATIVE EDUCATION,All Students,4 year August,2012,72,0.0,-73.988097,40.7679284,New York
55,1076,INSTITUTE FOR COLLABORATIVE EDUCATION,All Students,4 year June,2012,72,0.0,-73.988097,40.7679284,New York
56,1115,PROFESSIONAL PERFORMING ARTS HS,All Students,4 year August,2012,113,0.8849557,-73.982641,40.732708,New York
57,1123,PROFESSIONAL PERFORMING ARTS HS,All Students,4 year June,2012,113,0.8849557,-73.982641,40.732708,New York
58,1162,BARUCH COLLEGE CAMPUS HS,All Students,4 year August,2012,108,0.0,-73.9886383,40.7615114,New York
59,1170,BARUCH COLLEGE CAMPUS HS,All Students,4 year June,2012,108,0.0,-73.9886383,40.7615114,New York
60,1209,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,All Students,4 year August,2012,133,0.0,-73.9859409,40.7417975,New York
61,1217,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,All Students,4 year June,2012,133,0.0,-73.9859409,40.7417975,New York
62,1256,SCHOOL OF THE FUTURE HS,All Students,4 year August,2012,98,0.0,-74.0025155,40.7424139,New York
63,1264,SCHOOL OF THE FUTURE HS,All Students,4 year June,2012,98,0.0,-74.0025155,40.7424139,New York
64,1303,NYC MUSEUM SCHOOL,All Students,4 year August,2012,119,0.0,-73.9896023,40.740685,New York
65,1311,NYC MUSEUM SCHOOL,All Students,4 year June,2012,119,0.0,-73.9896023,40.740685,New York
66,1350,ELEANOR ROOSEVELT HS,All Students,4 year August,2012,136,0.0,-74.0025155,40.7424139,New York
